target,search_time,first_solution_time,first_solution_iteration,number_of_nodes,max_transforms,max_children,number_of_routes,number_of_solved_routes,top_score,is_solved,number_of_steps,number_of_precursors,number_of_precursors_in_stock,precursors_in_stock,precursors_not_in_stock,precursors_availability,policy_used_counts,profiling,,,,,,,,,
C/C=C\[C@]12CC[C@H](O)CC1=CC[C@H]1[C@@H]3CC[C@H](O)[C@@]3(C)CC[C@@H]12,61.16679049,0,0,2019,13,46,791,0,0.760045553,FALSE,11,5,4,"C=COCC, CC(=O)O, CC(=O)OC(C)=O, CC(=O)OC(C)=O",C/C=C\[C@]12CCC(O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(O)CC[C@@H]12,zinc;zinc;zinc;zinc;Not in stock,{'uspto': 2018},"{'expansion_calls': 1229, 'reactants_generations': 7314, 'iterations': 100}",,,,,,,,,
CCN(CC)CCNC(=O)c1ccc(NC(=O)c2cccc(S(=O)(=O)Nc3ccc(C)cc3)c2)cc1,30.25810766,0,0,640,9,19,200,0,0.839285714,FALSE,4,7,6,"CCN(CC)CCN, O=S(Cl)Cl, Cc1ccc(N)cc1, O=C(O)c1ccccc1, CC(C)(C)OC(=O)Nc1ccc(C(=O)O)cc1, O=S(Cl)Cl",O=S(=O)(O)Cl,zinc;zinc;zinc;zinc;Not in stock;zinc;zinc,{'uspto': 639},"{'expansion_calls': 540, 'reactants_generations': 6853, 'iterations': 100}",,,,,,,,,
NCCCCC(NC(=O)NC(CC1CCCCC1)C(=O)NC12CC3CC(CC(C3)C1)C2)C(=O)O,46.93512869,0,0,1568,13,18,379,0,0.83125617,FALSE,13,8,7,"NC12CC3CC(CC(C3)C1)C2, O=S(Cl)Cl, OCc1ccccc1, O=C(Cl)Cl, OCC1c2ccccc2-c2ccccc21, CC(C)(C)OC(=O)OC(=O)OC(C)(C)C, O=C(Cl)OCc1ccccc1",COC(=O)C(CCCCN)NC(=O)NC(Cc1ccccc1)C(=O)OC,zinc;zinc;zinc;zinc;zinc;zinc;zinc;Not in stock,{'uspto': 1567},"{'expansion_calls': 1189, 'reactants_generations': 2913, 'iterations': 100}",,,,,,,,,
CC(C)C1NC(=O)c2coc(n2)-c2coc(n2)-c2coc(n2)C(C(C)C)NC(=O)c2coc(n2)-c2coc(n2)-c2coc1n2,127.2407186,0,0,2299,13,24,433,0,0.658333333,FALSE,4,3,2,"CCOC(=O)C(=O)CBr, NC(=O)c1cocn1",CC(C)C(N)c1nc(-c2nc(-c3nc(C(=O)NC(c4nc(Br)co4)C(C)C)co3)co2)co1,Not in stock;zinc;zinc,{'uspto': 2298},"{'expansion_calls': 1866, 'reactants_generations': 6987, 'iterations': 100}",,,,,,,,,
COc1ccccc1-c1nc2cc(C)ccc2n1Cc1cc(OC)c(OC)c(OC)c1,21.46228838,0.262848616,2,440,10,43,103,59,0.994039854,TRUE,2,3,3,"COc1cc(CCl)cc(OC)c1OC, COc1ccccc1C(=O)Cl, Cc1ccc(N)c(N)c1",,zinc;zinc;zinc,{'uspto': 439},"{'expansion_calls': 378, 'reactants_generations': 5256, 'iterations': 100}",,,,,,,,,
CN(C)c1cccc(C(=O)N2CCC(n3cncc3-c3ccc(OS(=O)(=O)c4cccc5cnccc45)cc3)CC2)c1,47.7155776,0,0,1428,13,28,242,0,0.855045553,FALSE,11,10,9,"CN(C)c1cccc(C(=O)O)c1, O=P(Cl)(Cl)Cl, O=S(=O)(O)c1cccc2cnccc12, OB(O)c1ccc(OCc2ccccc2)cc1, O=C1CCC(=O)N1Br, c1c[nH]cn1, CC(C)(C)OC(=O)OC(=O)OC(C)(C)C, O=C1CCNC(=O)C1, O=C(Cl)C(=O)Cl",CS(=O)(=O)O,zinc;zinc;zinc;zinc;zinc;zinc;zinc;zinc;zinc;Not in stock,{'uspto': 1427},"{'expansion_calls': 1197, 'reactants_generations': 4730, 'iterations': 100}",,,,,,,,,
CCOCn1c(Sc2cccc(Cl)c2)cc(=O)[nH]c1=O,30.61369658,0.030006409,1,725,13,16,186,46,0.994039854,TRUE,2,3,3,"CCOCCl, Sc1cccc(Cl)c1, O=c1cc(Cl)[nH]c(=O)[nH]1",,zinc;zinc;zinc,{'uspto': 724},"{'expansion_calls': 572, 'reactants_generations': 5307, 'iterations': 100}",,,,,,,,,
CCOC(=O)c1c(C)[nH]c(C(=O)OCC(=O)Nc2sccc2C(N)=O)c1C,48.06182456,0.974571228,1,700,13,15,166,35,0.994039854,TRUE,2,3,3,"CCOC(=O)c1c(C)[nH]c(C(=O)O)c1C, O=C(Br)CBr, NC(=O)c1ccsc1N",,zinc;zinc;zinc,{'uspto': 699},"{'expansion_calls': 581, 'reactants_generations': 10842, 'iterations': 100}",,,,,,,,,
O=C(CCC1CCCN(c2ncccn2)C1)NCc1ccc(F)c(F)c1,21.55409932,0.198117733,1,911,13,18,150,49,0.986552929,TRUE,3,3,3,"Clc1ncccn1, NCc1ccc(F)c(F)c1, O=C(O)CCc1cccnc1",,zinc;zinc;zinc,{'uspto': 910},"{'expansion_calls': 763, 'reactants_generations': 2106, 'iterations': 100}",,,,,,,,,
O=C(Cn1cc2c(n1)CCCCC2)NC1CCN(Cc2ccccc2)CC1,16.40271044,0.043031216,1,539,13,15,147,66,0.994039854,TRUE,2,3,3,"NC1CCN(Cc2ccccc2)CC1, CCOC(=O)CBr, c1[nH]nc2c1CCCCC2",,zinc;zinc;zinc,{'uspto': 538},"{'expansion_calls': 410, 'reactants_generations': 2362, 'iterations': 100}",,,,,,,,,
Nc1cccc2oc(-c3ccc(O)cc3)cc(=O)c12,36.47709131,10.05383396,30,847,13,42,197,4,0.975,TRUE,4,3,3,"NCc1ccccc1, COc1ccc(C(=O)Cl)cc1, CC(=O)c1c(O)cccc1Br",,zinc;zinc;zinc,{'uspto': 846},"{'expansion_calls': 732, 'reactants_generations': 7443, 'iterations': 100}",,,,,,,,,
CC[C@H](C)CNC(=O)c1ccc(NC(=O)N2Cc3ccc(F)cc3C2)cc1,11.10104394,0.053603649,1,350,9,13,122,88,0.994039854,TRUE,2,3,3,"CC[C@H](C)CN, O=C=Nc1ccc(C(=O)Cl)cc1, Fc1ccc2c(c1)CNC2",,zinc;zinc;zinc,{'uspto': 349},"{'expansion_calls': 250, 'reactants_generations': 2037, 'iterations': 100}",,,,,,,,,
CN(C)C(=O)CN1CCC(CCOc2ccc(-c3nc(C#N)nc4c3ccn4C)cc2C(F)(F)F)CC1,150.4762747,0,0,1581,13,36,303,0,0.815185025,FALSE,8,7,6,"CCOC(=O)CBr, OCCC1CCNCC1, CC(C)(C)OC(=O)OC(=O)OC(C)(C)C, OB(O)c1ccc(F)c(C(F)(F)F)c1, Clc1nc(Cl)c2cc[nH]c2n1, CNC=O",C#N,zinc;zinc;Not in stock;zinc;zinc;zinc;zinc,{'uspto': 1580},"{'expansion_calls': 1354, 'reactants_generations': 31898, 'iterations': 100}",,,,,,,,,
CC(=O)Nc1ccc(S(=O)(=O)NN=C(N)N)cc1,19.93065333,0.014031172,1,344,13,10,180,14,0.997628706,TRUE,1,2,2,"CC(=O)Cl, NC(N)=NNS(=O)(=O)c1ccc(N)cc1",,zinc;zinc,{'uspto': 343},"{'expansion_calls': 178, 'reactants_generations': 4574, 'iterations': 100}",,,,,,,,,
CCN(C[C@H]1N[C@@](Cc2ccccc2)(C(=O)OC)c2c1c(O)n(Cc1ccccc1)c2O)S(=O)(=O)c1ccc(C(F)(F)F)cc1,82.28375196,0,0,1797,13,15,413,0,0.712545553,FALSE,11,8,6,"FC(F)(F)c1ccccc1, BrCc1ccccc1, CC(N)=O, COCc1ccccc1, BrCc1ccccc1, CC(=O)OC(C)=O","O=S(=O)(O)Cl, COC(=O)[C@]1(Cc2ccccc2)N[C@H](CO)c2c(OC)[nH]c(OCCl)c21",Not in stock;zinc;zinc;zinc;zinc;zinc;zinc;Not in stock,{'uspto': 1796},"{'expansion_calls': 1385, 'reactants_generations': 7553, 'iterations': 100}",,,,,,,,,
CCCc1nc2c(C)cc(Br)cn2c1Cc1ccccc1,52.95031309,8.256595373,20,1701,13,21,810,3,0.986552929,TRUE,3,3,3,"O=C(Cl)c1ccccc1, CCCC(=O)CCl, Cc1cc(Br)cnc1N",,zinc;zinc;zinc,{'uspto': 1700},"{'expansion_calls': 940, 'reactants_generations': 8298, 'iterations': 100}",,,,,,,,,
C[C@H](O)[C@@H](CCc1ccc(C(F)(F)F)cc1)n1cnc(C(N)=O)c1,60.87442183,0,0,1399,13,26,249,0,0.712545553,FALSE,11,8,6,"[C-]#[N+]/C(=C\N(C)C)C(=O)OCC, BrCc1ccccc1, CC(C)(C)OC(=O)OC(=O)OC(C)(C)C, CNOC, O=C(Cl)OCc1ccccc1, N[C@H](CCc1ccc(C(F)(F)F)cc1)C(=O)O","N, C[Mg]Cl",Not in stock;zinc;zinc;zinc;Not in stock;zinc;zinc;zinc,{'uspto': 1398},"{'expansion_calls': 1151, 'reactants_generations': 5351, 'iterations': 100}",,,,,,,,,
O=CCNc1c(O)c(N2CC2)c(NCCO)c(O)c1N1CC1,61.57973146,0,0,2028,13,42,767,0,0.791712219,FALSE,11,6,5,"ClCc1ccccc1, CC(C)(C)[Si](C)(C)OCCN, c1ccc(CN2CC2)cc1, COC(CN)OC, BrCc1ccccc1",COc1c(O)c(OC)c(N2CC2=O)c(OCc2ccccc2)c1OC,zinc;zinc;zinc;zinc;zinc;Not in stock,{'uspto': 2027},"{'expansion_calls': 1262, 'reactants_generations': 7751, 'iterations': 100}",,,,,,,,,
O=c1[nH]nc(Cc2cccc(NS(=O)(=O)c3cccs3)c2)c2c1CCCC2,78.27334213,58.36502004,77,1401,13,13,438,2,0.963447071,TRUE,5,5,5,"O=S(Cl)Cl, O=S(=O)(O)c1cccs1, O=C(O)Cc1cccc([N+](=O)[O-])c1, O=C1OC(=O)C2=C1CCCC2, O=N[N+](=O)[O-]",,zinc;zinc;zinc;zinc;zinc,{'uspto': 1400},"{'expansion_calls': 1017, 'reactants_generations': 14555, 'iterations': 100}",,,,,,,,,
Nc1c[nH]c2ncc(-c3ccccc3)cc12,15.0072844,0.030030727,1,531,13,48,273,66,0.997628706,TRUE,1,2,2,"Nc1c[nH]c2ncc(Br)cc12, OB(O)c1ccccc1",,zinc;zinc,{'uspto': 530},"{'expansion_calls': 284, 'reactants_generations': 2977, 'iterations': 100}",,,,,,,,,
O=C(Nc1sc2c(c1C(=O)N1CC(F)(F)C1)CCC(F)(F)C2)c1ccccc1OC(F)(F)F,74.77496147,0,0,1618,13,11,114,0,0.749052929,FALSE,3,4,3,"FC1(F)CNC1, CCOP(=O)(O)OCC, O=C(O)c1ccccc1OC(F)(F)F",Nc1sc2c(c1C=O)CCC(F)(F)C2,zinc;zinc;Not in stock;zinc,{'uspto': 1617},"{'expansion_calls': 1506, 'reactants_generations': 7590, 'iterations': 100}",,,,,,,,,
CC1(C)C=Cc2c(c(O)cc3c2OCC(c2cc4c(cc2O)OCO4)C3)O1,47.04885364,0,0,1659,13,30,509,0,0.791790298,FALSE,10,6,5,"CC(C)(C)C(=O)Cl, BrCc1ccccc1, C#CC(C)(C)Cl, CC(=O)OC(C)=O, CC(=O)OC(C)=O",O=c1c(-c2cc3c(cc2O)OCO3)coc2cc(O)c(O)cc12,zinc;zinc;zinc;zinc;zinc;Not in stock,{'uspto': 1658},"{'expansion_calls': 1150, 'reactants_generations': 4273, 'iterations': 100}",,,,,,,,,
O=C1O[C@@H](Cn2cc(Cl)nn2)CN1c1ccc(C2=CCS(=O)(=O)CC2)c(F)c1,101.4089148,8.093152046,6,1940,13,15,700,14,0.955960146,TRUE,6,6,6,"O=C1CCC(=O)N1Br, O=S1(=O)CC=C(c2ccccc2F)CC1, O=C1NC[C@H](CCl)O1, O=C1CCC(=O)N1Cl, C#C[Si](C)(C)C, COc1ccc(CN=[N+]=[N-])cc1",,zinc;zinc;zinc;zinc;zinc;zinc,{'uspto': 1939},"{'expansion_calls': 1283, 'reactants_generations': 16551, 'iterations': 100}",,,,,,,,,
NS(=O)(=O)c1ccccc1-c1ccc(C(=O)NC(CC(=O)Nc2ccc(Br)cn2)C(=O)Nc2ccccc2)cc1,43.03740454,1.669734478,3,1124,13,11,161,50,0.955960146,TRUE,6,6,6,"Nc1ccc(Br)cn1, NS(=O)(=O)c1ccccc1Br, O=C(O)c1ccc(B(O)O)cc1, Nc1ccccc1, CC(C)(C)OC(=O)OC(=O)OC(C)(C)C, N[C@@H](CC(=O)OCc1ccccc1)C(=O)O",,zinc;zinc;zinc;zinc;zinc;zinc,{'uspto': 1123},"{'expansion_calls': 984, 'reactants_generations': 5240, 'iterations': 100}",,,,,,,,,
CSc1ccc(Cc2nn(-c3ccc([N+](=O)[O-])cc3)c(=O)c3ccccc23)cc1,55.8725481,0.758474827,2,1324,13,34,458,27,0.975,TRUE,4,4,4,"O=[N+]([O-])c1ccc(F)cc1, O=C1OC(=O)c2ccccc21, CSc1ccc(CC(=O)O)cc1, O=N[N+](=O)[O-]",,zinc;zinc;zinc;zinc,{'uspto': 1323},"{'expansion_calls': 910, 'reactants_generations': 9971, 'iterations': 100}",,,,,,,,,
CCC(Sc1nc2nccnc2c(=O)n1Cc1ccccc1Cl)C(=O)NC1CCCCC1,49.97437668,0,0,1325,13,19,221,0,0.845343755,FALSE,8,9,8,"NC1CCCCC1, CCOC(=O)C(=O)CC, NCc1ccccc1Cl, O=C(Cl)C(=O)Cl, CCOC(=O)c1nccnc1Cl, CC(=O)OC(C)=O, NC(=O)S, COCc1ccccc1",CS(=O)(=O)O,zinc;zinc;zinc;zinc;Not in stock;zinc;zinc;zinc;zinc,{'uspto': 1324},"{'expansion_calls': 1122, 'reactants_generations': 5958, 'iterations': 100}",,,,,,,,,
COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OC1CCCC1,46.50049829,2.030444145,5,718,13,25,120,32,0.994039854,TRUE,2,3,3,"Nc1ccc(Cl)c(Cl)c1, COc1cc2c(Cl)ncnc2cc1O, OC1CCCC1",,zinc;zinc;zinc,{'uspto': 717},"{'expansion_calls': 664, 'reactants_generations': 10974, 'iterations': 100}",,,,,,,,,
COc1cccc(-c2nc3cc(F)ccc3[nH]2)c1Cl,7.296049833,0.000103474,1,219,9,25,89,63,0.997628706,TRUE,1,2,2,"COc1cccc(C=O)c1Cl, Nc1ccc(F)cc1N",,zinc;zinc,{'uspto': 218},"{'expansion_calls': 149, 'reactants_generations': 1821, 'iterations': 100}",,,,,,,,,
Nc1ccn(CCCNCC(c2ccccc2)c2ccccc2)c(=O)n1,29.54948211,1.292943954,3,582,13,47,164,54,0.994039854,TRUE,2,4,4,"OCC(c1ccccc1)c1ccccc1, O=S(Cl)Cl, NCCCBr, Nc1cc[nH]c(=O)n1",,zinc;zinc;zinc;zinc,{'uspto': 581},"{'expansion_calls': 466, 'reactants_generations': 6587, 'iterations': 100}",,,,,,,,,
Cc1cccc(N2CCN(CCCNC(=O)c3c[nH]nc3C)CC2)c1,11.43538761,0.017595768,1,588,13,37,258,68,0.997628706,TRUE,1,2,2,"Cc1n[nH]cc1C(=O)O, Cc1cccc(N2CCN(CCCN)CC2)c1",,zinc;zinc,{'uspto': 587},"{'expansion_calls': 352, 'reactants_generations': 1735, 'iterations': 100}",,,,,,,,,
CCCn1nc(-c2ccc(O)cc2)c2cccc(Cl)c21,63.44907069,5.027704954,8,1187,13,32,374,15,0.994039854,TRUE,2,3,3,"OB(O)c1ccc(O)cc1, CCCBr, Clc1cccc2c(Br)n[nH]c12",,zinc;zinc;zinc,{'uspto': 1186},"{'expansion_calls': 890, 'reactants_generations': 12785, 'iterations': 100}",,,,,,,,,
O=C(Nc1cncc(Oc2cncc(F)c2)n1)c1ccccn1,4.849226713,0.035604239,1,234,8,26,102,89,0.994039854,TRUE,2,3,3,"Oc1cncc(F)c1, Nc1cncc(Cl)n1, O=C(O)c1ccccn1",,zinc;zinc;zinc,{'uspto': 233},"{'expansion_calls': 143, 'reactants_generations': 1029, 'iterations': 100}",,,,,,,,,
O=C(O)C(Cc1ccc(O)cc1)=NO,26.06080317,0.058128834,1,529,13,24,107,43,0.997628706,TRUE,1,1,1,COc1ccc(CC(=NO)C(=O)O)cc1,,zinc,{'uspto': 528},"{'expansion_calls': 453, 'reactants_generations': 5068, 'iterations': 100}",,,,,,,,,
