target,search_time,first_solution_time,first_solution_iteration,number_of_nodes,max_transforms,max_children,number_of_routes,number_of_solved_routes,top_score,is_solved,number_of_steps,number_of_precursors,number_of_precursors_in_stock,precursors_in_stock,precursors_not_in_stock,precursors_availability,policy_used_counts,profiling,,,,,,,,,
C=C1[C@H]2C[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C(C)(C)[C@@]2(O)[C@H](O)C[C@@]23C[C@@H](CC[C@@H]12)[C@](C)(O)C3,77.97325897,0,0,3448,13,96,2149,0,0.791712219,FALSE,11,6,5,"CC(=O)OC(C)=O, CC(=O)OC(C)=O, CC(=O)OC(C)=O, BrCc1ccccc1, CC(=O)OC(C)=O",C=C1[C@H]2C[C@H](O[C@@H]3O[C@H](CO[Si](C)(C)C(C)(C)C)[C@@H](O)[C@H](O[Si](C)(C)C(C)(C)C)[C@H]3OC(C)=O)C(C)(C)[C@@]2(O)[C@H](O)C[C@@]23C[C@@H](CC[C@@H]12)[C@](C)(O[Si](c1ccccc1)(c1ccccc1)C(C)(C)C)C3,zinc;zinc;zinc;zinc;zinc;Not in stock,{'uspto': 3447},"{'expansion_calls': 1300, 'reactants_generations': 5335, 'iterations': 100}",,,,,,,,,
COc1cccc(-c2cc(F)ccc2[C@H]2Cc3nc(N)nc(C)c3C(=NOCC(=O)N(C)C[C@H](O)CO)N2)n1,134.3772879,0,0,2361,13,21,827,0,0.870839503,FALSE,13,12,11,"COC(C)(C)OC, CNC[C@H](O)CO, Brc1ccccc1, OCCNCCO, OB(O)c1cccc(Cl)n1, COCc1ccccc1, CC(C)(C)C(N)=O, CC(=O)O, O=C1CCC(=O)N1Cl, CN(C)C(OC(C)(C)C)OC(C)(C)C, C[Si](C)(C)C=[N+]=[N-]",Cc1ncnc2c1C(=NOCC(=O)O)N(C(=O)OC(C)(C)C)[C@@H](c1ccc(F)cc1Br)C2,zinc;zinc;zinc;zinc;zinc;zinc;zinc;zinc;zinc;zinc;zinc;Not in stock,{'uspto': 2360},"{'expansion_calls': 1565, 'reactants_generations': 21779, 'iterations': 100}",,,,,,,,,
OCC(Cc1ccccc1)NCc1ccccc1C(F)(F)F,43.47022057,0.439533949,1,1475,13,20,478,14,0.997628706,TRUE,1,2,2,"NCc1ccccc1C(F)(F)F, O=C(CO)Cc1ccccc1",,zinc;zinc,{'uspto': 1474},"{'expansion_calls': 1000, 'reactants_generations': 4213, 'iterations': 100}",,,,,,,,,
C=C(C=O)[C@@H]1CC[C@]2(COC(C)=O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,69.03807092,0,0,2006,13,21,809,0,0.725947071,FALSE,5,4,3,"C1CCOC1, CC(=O)OC(C)=O, CC(=O)OC(C)=O",CC1(C)[C@@H](O)CC[C@]2(C)[C@H]3CC[C@@H]4[C@H]5[C@H](C(=O)CO)CC[C@]5(CO)CC[C@@]4(C)[C@]3(C)CC[C@@H]12,zinc;zinc;Not in stock;zinc,{'uspto': 2005},"{'expansion_calls': 1197, 'reactants_generations': 6258, 'iterations': 100}",,,,,,,,,
Nc1cc(F)ccc1NC(=O)c1ccc(NC(=O)Cc2ccc(C(F)(F)F)cc2)cc1,9.44213748,0.071611166,1,316,11,11,126,80,0.994039854,TRUE,2,3,3,"Nc1ccc(F)cc1N, Nc1ccc(C(=O)O)cc1, O=C(Cl)Cc1ccc(C(F)(F)F)cc1",,zinc;zinc;zinc,{'uspto': 315},"{'expansion_calls': 212, 'reactants_generations': 1904, 'iterations': 100}",,,,,,,,,
CCOc1ccc(/C=C/CN(C)Cc2ccc3c(c2)OCO3)cc1,32.69976854,0.030678749,1,657,13,20,332,12,0.997628706,TRUE,1,2,2,"C=CCN(C)Cc1ccc2c(c1)OCO2, CCOc1ccc(Br)cc1",,zinc;zinc,{'uspto': 656},"{'expansion_calls': 365, 'reactants_generations': 6278, 'iterations': 100}",,,,,,,,,
C/C=C\[C@]12CC[C@H](O)CC1=CC[C@H]1[C@@H]3CC[C@H](O)[C@@]3(C)CC[C@@H]12,65.18086982,0,0,2119,13,46,874,0,0.791672836,FALSE,13,6,5,"CC(=O)OC(C)=O, C=COCC, CC(=O)O, CC(=O)OC(C)=O, CC(=O)OC(C)=O",C/C=C\[C@]12CCC(O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(O)CC[C@@H]12,zinc;zinc;zinc;zinc;zinc;Not in stock,{'uspto': 2118},"{'expansion_calls': 1246, 'reactants_generations': 7703, 'iterations': 100}",,,,,,,,,
CCN(CC)CCNC(=O)c1ccc(NC(=O)c2cccc(S(=O)(=O)Nc3ccc(C)cc3)c2)cc1,30.86742449,0,0,640,9,19,200,0,0.839285714,FALSE,4,7,6,"CCN(CC)CCN, O=S(Cl)Cl, Cc1ccc(N)cc1, O=C(O)c1ccccc1, CC(C)(C)OC(=O)Nc1ccc(C(=O)O)cc1, O=S(Cl)Cl",O=S(=O)(O)Cl,zinc;zinc;zinc;zinc;Not in stock;zinc;zinc,{'uspto': 639},"{'expansion_calls': 540, 'reactants_generations': 6853, 'iterations': 100}",,,,,,,,,
NCCCCC(NC(=O)NC(CC1CCCCC1)C(=O)NC12CC3CC(CC(C3)C1)C2)C(=O)O,49.76136303,0,0,1631,13,18,427,0,0.814331267,FALSE,11,7,6,"NC12CC3CC(CC(C3)C1)C2, O=C(Cl)Cl, OCC1c2ccccc2-c2ccccc21, C=C(C)C, O=C(Cl)OCc1ccccc1, CC(C)(C)OC(=O)OC(=O)OC(C)(C)C",COC(=O)C(Cc1ccccc1)NC(=O)NC(CCCCN)C(=O)O,zinc;zinc;zinc;zinc;zinc;zinc;Not in stock,{'uspto': 1630},"{'expansion_calls': 1204, 'reactants_generations': 3095, 'iterations': 100}",,,,,,,,,
CC(C)C1NC(=O)c2coc(n2)-c2coc(n2)-c2coc(n2)C(C(C)C)NC(=O)c2coc(n2)-c2coc(n2)-c2coc1n2,126.5207589,0,0,2303,13,24,425,0,0.669886262,FALSE,3,3,2,"O=C(Br)CBr, O=C(O)c1cocn1",CC(C)C(N)c1nc(-c2nc(-c3nc(C(=O)NC(c4nc(C(N)=O)co4)C(C)C)co3)co2)co1,zinc;zinc;Not in stock,{'uspto': 2302},"{'expansion_calls': 1878, 'reactants_generations': 6749, 'iterations': 100}",,,,,,,,,
COc1ccccc1-c1nc2cc(C)ccc2n1Cc1cc(OC)c(OC)c(OC)c1,21.59117699,0.260129213,2,440,10,43,103,59,0.994039854,TRUE,2,3,3,"COc1cc(CCl)cc(OC)c1OC, COc1ccccc1C(=O)Cl, Cc1ccc(N)c(N)c1",,zinc;zinc;zinc,{'uspto': 439},"{'expansion_calls': 378, 'reactants_generations': 5256, 'iterations': 100}",,,,,,,,,
CN(C)c1cccc(C(=O)N2CCC(n3cncc3-c3ccc(OS(=O)(=O)c4cccc5cnccc45)cc3)CC2)c1,48.17538285,0,0,1426,13,29,238,0,0.855045553,FALSE,11,10,9,"CN(C)c1cccc(C(=O)O)c1, O=P(Cl)(Cl)Cl, O=S(=O)(O)c1cccc2cnccc12, OB(O)c1ccc(OCc2ccccc2)cc1, O=C1CCC(=O)N1Br, c1c[nH]cn1, CC(C)(C)OC(=O)OC(=O)OC(C)(C)C, O=C1CCNC(=O)C1, O=C(Cl)C(=O)Cl",CS(=O)(=O)O,zinc;zinc;zinc;zinc;zinc;zinc;zinc;zinc;zinc;Not in stock,{'uspto': 1425},"{'expansion_calls': 1199, 'reactants_generations': 4721, 'iterations': 100}",,,,,,,,,
CCOCn1c(Sc2cccc(Cl)c2)cc(=O)[nH]c1=O,30.2212441,0.030246258,1,717,13,16,184,46,0.994039854,TRUE,2,3,3,"CCOCCl, Sc1cccc(Cl)c1, O=c1cc(Cl)[nH]c(=O)[nH]1",,zinc;zinc;zinc,{'uspto': 716},"{'expansion_calls': 566, 'reactants_generations': 5114, 'iterations': 100}",,,,,,,,,
CCOC(=O)c1c(C)[nH]c(C(=O)OCC(=O)Nc2sccc2C(N)=O)c1C,47.6675663,0.995491505,1,679,13,12,141,34,0.994039854,TRUE,2,3,3,"CCOC(=O)c1c(C)[nH]c(C(=O)O)c1C, O=C(Br)CBr, NC(=O)c1ccsc1N",,zinc;zinc;zinc,{'uspto': 678},"{'expansion_calls': 584, 'reactants_generations': 10498, 'iterations': 100}",,,,,,,,,
O=C(CCC1CCCN(c2ncccn2)C1)NCc1ccc(F)c(F)c1,21.86625767,0.098704815,1,918,13,18,151,49,0.986552929,TRUE,3,3,3,"Clc1ncccn1, NCc1ccc(F)c(F)c1, O=C(O)CCc1cccnc1",,zinc;zinc;zinc,{'uspto': 917},"{'expansion_calls': 769, 'reactants_generations': 2117, 'iterations': 100}",,,,,,,,,
O=C(Cn1cc2c(n1)CCCCC2)NC1CCN(Cc2ccccc2)CC1,15.54278898,0.043127775,1,507,13,12,112,66,0.994039854,TRUE,2,3,3,"NC1CCN(Cc2ccccc2)CC1, CCOC(=O)CBr, c1[nH]nc2c1CCCCC2",,zinc;zinc;zinc,{'uspto': 506},"{'expansion_calls': 412, 'reactants_generations': 2140, 'iterations': 100}",,,,,,,,,
Nc1cccc2oc(-c3ccc(O)cc3)cc(=O)c12,36.6605401,10.21106315,30,843,13,42,197,5,0.975,TRUE,4,3,3,"NCc1ccccc1, COc1ccc(C(=O)Cl)cc1, CC(=O)c1c(O)cccc1Br",,zinc;zinc;zinc,{'uspto': 842},"{'expansion_calls': 728, 'reactants_generations': 7450, 'iterations': 100}",,,,,,,,,
CC[C@H](C)CNC(=O)c1ccc(NC(=O)N2Cc3ccc(F)cc3C2)cc1,11.03913403,0.054358006,1,350,9,12,122,89,0.994039854,TRUE,2,3,3,"CC[C@H](C)CN, O=C=Nc1ccc(C(=O)Cl)cc1, Fc1ccc2c(c1)CNC2",,zinc;zinc;zinc,{'uspto': 349},"{'expansion_calls': 249, 'reactants_generations': 1991, 'iterations': 100}",,,,,,,,,
CN(C)C(=O)CN1CCC(CCOc2ccc(-c3nc(C#N)nc4c3ccn4C)cc2C(F)(F)F)CC1,150.902514,0,0,1579,13,36,298,0,0.815185025,FALSE,8,7,6,"CCOC(=O)CBr, OCCC1CCNCC1, CC(C)(C)OC(=O)OC(=O)OC(C)(C)C, OB(O)c1ccc(F)c(C(F)(F)F)c1, Clc1nc(Cl)c2cc[nH]c2n1, CNC=O",C#N,zinc;zinc;Not in stock;zinc;zinc;zinc;zinc,{'uspto': 1578},"{'expansion_calls': 1355, 'reactants_generations': 31356, 'iterations': 100}",,,,,,,,,
CC(=O)Nc1ccc(S(=O)(=O)NN=C(N)N)cc1,22.35533619,0.014601469,1,403,13,10,210,14,0.997628706,TRUE,1,2,2,"CC(=O)Cl, NC(N)=NNS(=O)(=O)c1ccc(N)cc1",,zinc;zinc,{'uspto': 402},"{'expansion_calls': 209, 'reactants_generations': 5049, 'iterations': 100}",,,,,,,,,
CCN(C[C@H]1N[C@@](Cc2ccccc2)(C(=O)OC)c2c1c(O)n(Cc1ccccc1)c2O)S(=O)(=O)c1ccc(C(F)(F)F)cc1,82.6971693,0,0,1779,13,15,397,0,0.712545553,FALSE,11,8,6,"FC(F)(F)c1ccccc1, BrCc1ccccc1, CC(N)=O, COCc1ccccc1, BrCc1ccccc1, CC(=O)OC(C)=O","O=S(=O)(O)Cl, COC(=O)[C@]1(Cc2ccccc2)N[C@H](CO)c2c(OC)[nH]c(OCCl)c21",Not in stock;zinc;zinc;zinc;zinc;zinc;zinc;Not in stock,{'uspto': 1778},"{'expansion_calls': 1384, 'reactants_generations': 7258, 'iterations': 100}",,,,,,,,,
CCCc1nc2c(C)cc(Br)cn2c1Cc1ccccc1,54.50260878,9.180053473,20,1706,13,21,814,3,0.986552929,TRUE,3,3,3,"O=C(Cl)c1ccccc1, CCCC(=O)CCl, Cc1cc(Br)cnc1N",,zinc;zinc;zinc,{'uspto': 1705},"{'expansion_calls': 941, 'reactants_generations': 8654, 'iterations': 100}",,,,,,,,,
C[C@H](O)[C@@H](CCc1ccc(C(F)(F)F)cc1)n1cnc(C(N)=O)c1,61.76587915,0,0,1380,13,26,235,0,0.712545553,FALSE,11,8,6,"[C-]#[N+]/C(=C\N(C)C)C(=O)OCC, BrCc1ccccc1, CC(C)(C)OC(=O)OC(=O)OC(C)(C)C, CNOC, O=C(Cl)OCc1ccccc1, N[C@H](CCc1ccc(C(F)(F)F)cc1)C(=O)O","N, C[Mg]Cl",Not in stock;zinc;zinc;zinc;Not in stock;zinc;zinc;zinc,{'uspto': 1379},"{'expansion_calls': 1146, 'reactants_generations': 5367, 'iterations': 100}",,,,,,,,,
O=CCNc1c(O)c(N2CC2)c(NCCO)c(O)c1N1CC1,61.16362619,0,0,1999,13,42,748,0,0.791790298,FALSE,10,6,5,"OCCCl, OCCO, O=S(Cl)Cl, COC(OC)C(=O)O, c1ccc(CN2CC2)cc1",O=[N+]([O-])c1c(O)c(N2CC2)c([N+](=O)[O-])c(O)c1F,zinc;zinc;zinc;zinc;Not in stock;zinc,{'uspto': 1998},"{'expansion_calls': 1253, 'reactants_generations': 6978, 'iterations': 100}",,,,,,,,,
O=c1[nH]nc(Cc2cccc(NS(=O)(=O)c3cccs3)c2)c2c1CCCC2,82.93606186,68.59861636,82,1454,13,13,463,2,0.963447071,TRUE,5,5,5,"O=S(Cl)Cl, O=S(=O)(O)c1cccs1, O=C(O)Cc1cccc([N+](=O)[O-])c1, O=C1OC(=O)C2=C1CCCC2, O=N[N+](=O)[O-]",,zinc;zinc;zinc;zinc;zinc,{'uspto': 1453},"{'expansion_calls': 1042, 'reactants_generations': 14970, 'iterations': 100}",,,,,,,,,
Nc1c[nH]c2ncc(-c3ccccc3)cc12,15.22573829,0.029977322,1,531,13,48,273,66,0.997628706,TRUE,1,2,2,"Nc1c[nH]c2ncc(Br)cc12, OB(O)c1ccccc1",,zinc;zinc,{'uspto': 530},"{'expansion_calls': 284, 'reactants_generations': 2977, 'iterations': 100}",,,,,,,,,
O=C(Nc1sc2c(c1C(=O)N1CC(F)(F)C1)CCC(F)(F)C2)c1ccccc1OC(F)(F)F,74.442554,0,0,1619,13,11,113,0,0.749052929,FALSE,3,4,3,"FC1(F)CNC1, CCOP(=O)(O)OCC, O=C(O)c1ccccc1OC(F)(F)F",Nc1sc2c(c1C=O)CCC(F)(F)C2,zinc;zinc;Not in stock;zinc,{'uspto': 1618},"{'expansion_calls': 1508, 'reactants_generations': 7470, 'iterations': 100}",,,,,,,,,
CC1(C)C=Cc2c(c(O)cc3c2OCC(c2cc4c(cc2O)OCO4)C3)O1,48.03248262,0,0,1658,13,30,512,0,0.791790298,FALSE,10,6,5,"CC(C)(C)C(=O)Cl, BrCc1ccccc1, C#CC(C)(C)Cl, CC(=O)OC(C)=O, CC(=O)OC(C)=O",O=c1c(-c2cc3c(cc2O)OCO3)coc2cc(O)c(O)cc12,zinc;zinc;zinc;zinc;zinc;Not in stock,{'uspto': 1657},"{'expansion_calls': 1146, 'reactants_generations': 4205, 'iterations': 100}",,,,,,,,,
O=C1O[C@@H](Cn2cc(Cl)nn2)CN1c1ccc(C2=CCS(=O)(=O)CC2)c(F)c1,101.5363255,8.19884634,6,1894,13,15,678,14,0.955960146,TRUE,6,6,6,"O=C1CCC(=O)N1Br, O=S1(=O)CC=C(c2ccccc2F)CC1, O=C1NC[C@H](CCl)O1, O=C1CCC(=O)N1Cl, C#C[Si](C)(C)C, COc1ccc(CN=[N+]=[N-])cc1",,zinc;zinc;zinc;zinc;zinc;zinc,{'uspto': 1893},"{'expansion_calls': 1262, 'reactants_generations': 16300, 'iterations': 100}",,,,,,,,,
NS(=O)(=O)c1ccccc1-c1ccc(C(=O)NC(CC(=O)Nc2ccc(Br)cn2)C(=O)Nc2ccccc2)cc1,43.19805694,1.700986147,3,1117,13,11,155,49,0.955960146,TRUE,6,6,6,"Nc1ccc(Br)cn1, NS(=O)(=O)c1ccccc1Br, O=C(O)c1ccc(B(O)O)cc1, Nc1ccccc1, CC(C)(C)OC(=O)OC(=O)OC(C)(C)C, N[C@@H](CC(=O)OCc1ccccc1)C(=O)O",,zinc;zinc;zinc;zinc;zinc;zinc,{'uspto': 1116},"{'expansion_calls': 983, 'reactants_generations': 5221, 'iterations': 100}",,,,,,,,,
CSc1ccc(Cc2nn(-c3ccc([N+](=O)[O-])cc3)c(=O)c3ccccc23)cc1,58.53154087,0.859237432,2,1325,13,34,457,27,0.975,TRUE,4,4,4,"O=[N+]([O-])c1ccc(F)cc1, O=C1OC(=O)c2ccccc21, CSc1ccc(CC(=O)O)cc1, O=N[N+](=O)[O-]",,zinc;zinc;zinc;zinc,{'uspto': 1324},"{'expansion_calls': 912, 'reactants_generations': 10452, 'iterations': 100}",,,,,,,,,
CCC(Sc1nc2nccnc2c(=O)n1Cc1ccccc1Cl)C(=O)NC1CCCCC1,51.84914732,0,0,1347,13,16,229,0,0.845343755,FALSE,8,9,8,"NC1CCCCC1, CCOC(=O)C(=O)CC, NCc1ccccc1Cl, O=C(Cl)C(=O)Cl, CCOC(=O)c1nccnc1Cl, CC(=O)OC(C)=O, NC(=O)S, COCc1ccccc1",CS(=O)(=O)O,zinc;zinc;zinc;zinc;Not in stock;zinc;zinc;zinc;zinc,{'uspto': 1346},"{'expansion_calls': 1134, 'reactants_generations': 6075, 'iterations': 100}",,,,,,,,,
COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OC1CCCC1,47.65740132,2.059202909,5,718,13,25,113,31,0.994039854,TRUE,2,3,3,"Nc1ccc(Cl)c(Cl)c1, COc1cc2c(Cl)ncnc2cc1O, OC1CCCC1",,zinc;zinc;zinc,{'uspto': 717},"{'expansion_calls': 673, 'reactants_generations': 11271, 'iterations': 100}",,,,,,,,,
COc1cccc(-c2nc3cc(F)ccc3[nH]2)c1Cl,8.688006401,0.016786337,1,225,9,25,91,62,0.997628706,TRUE,1,2,2,"COc1cccc(C=O)c1Cl, Nc1ccc(F)cc1N",,zinc;zinc,{'uspto': 224},"{'expansion_calls': 155, 'reactants_generations': 1974, 'iterations': 100}",,,,,,,,,
Nc1ccn(CCCNCC(c2ccccc2)c2ccccc2)c(=O)n1,29.43606544,0.526139736,3,583,13,47,164,54,0.994039854,TRUE,2,3,3,"O=CC(c1ccccc1)c1ccccc1, NCCCBr, Nc1cc[nH]c(=O)n1",,zinc;zinc;zinc,{'uspto': 582},"{'expansion_calls': 467, 'reactants_generations': 6354, 'iterations': 100}",,,,,,,,,
Cc1cccc(N2CCN(CCCNC(=O)c3c[nH]nc3C)CC2)c1,10.80925798,0.018031359,1,571,13,37,258,76,0.997628706,TRUE,1,2,2,"Cc1n[nH]cc1C(=O)O, Cc1cccc(N2CCN(CCCN)CC2)c1",,zinc;zinc,{'uspto': 570},"{'expansion_calls': 332, 'reactants_generations': 1435, 'iterations': 100}",,,,,,,,,
CCCn1nc(-c2ccc(O)cc2)c2cccc(Cl)c21,65.58163786,5.34171176,8,1171,13,32,360,16,0.994039854,TRUE,2,3,3,"OB(O)c1ccc(O)cc1, CCCBr, Clc1cccc2c(Br)n[nH]c12",,zinc;zinc;zinc,{'uspto': 1170},"{'expansion_calls': 888, 'reactants_generations': 13160, 'iterations': 100}",,,,,,,,,
O=C(Nc1cncc(Oc2cncc(F)c2)n1)c1ccccn1,5.246427298,0.037141562,1,240,13,26,102,88,0.994039854,TRUE,2,3,3,"Oc1cncc(F)c1, Nc1cncc(Cl)n1, O=C(O)c1ccccn1",,zinc;zinc;zinc,{'uspto': 239},"{'expansion_calls': 149, 'reactants_generations': 1061, 'iterations': 100}",,,,,,,,,
O=C(O)C(Cc1ccc(O)cc1)=NO,26.46812868,0.059453487,1,523,13,24,107,42,0.997628706,TRUE,1,1,1,COc1ccc(CC(=NO)C(=O)O)cc1,,zinc,{'uspto': 522},"{'expansion_calls': 448, 'reactants_generations': 5077, 'iterations': 100}",,,,,,,,,
